section,metric,scope,tier,value,unit,note
router,accuracy,regex_only/test_set,all,100.0,%,
router,recall,regex_only/test_set,1,100.0,%,
router,recall,regex_only/test_set,2,100.0,%,
router,recall,regex_only/test_set,3,100.0,%,
router,accuracy,regex_only/held_out,all,73.3,%,
router,recall,regex_only/held_out,1,46.7,%,
router,recall,regex_only/held_out,2,93.3,%,
router,recall,regex_only/held_out,3,80.0,%,
router,accuracy,hybrid/test_set,all,100.0,%,
router,recall,hybrid/test_set,1,100.0,%,
router,recall,hybrid/test_set,2,100.0,%,
router,recall,hybrid/test_set,3,100.0,%,
router,accuracy,hybrid/held_out,all,91.1,%,
router,recall,hybrid/held_out,1,80.0,%,
router,recall,hybrid/held_out,2,100.0,%,
router,recall,hybrid/held_out,3,93.3,%,
router,accuracy,ml_classifier/held_out,all,91.1,%,
router,recall,ml_classifier/held_out,1,100.0,%,
router,recall,ml_classifier/held_out,2,86.7,%,
router,recall,ml_classifier/held_out,3,86.7,%,
router,accuracy,original_baseline/test_set,all,34.0,%,pre-fix regex; Tier-1 lab queries never matched
retrieval,recall@1,row_level_gt(32B-judged),1,0.244,,n_scored=14 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@5,row_level_gt(32B-judged),1,0.369,,n_scored=14 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@10,row_level_gt(32B-judged),1,0.5238,,n_scored=14 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,ndcg@5,row_level_gt(32B-judged),1,0.3457,,n_scored=14 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,mrr,row_level_gt(32B-judged),1,0.3983,,n_scored=14 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,precision@1,row_level_gt(32B-judged),1,0.3571,,n_scored=14 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@1,row_level_gt(32B-judged),2,0.0312,,n_scored=16 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@5,row_level_gt(32B-judged),2,0.3143,,n_scored=16 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@10,row_level_gt(32B-judged),2,0.5321,,n_scored=16 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,ndcg@5,row_level_gt(32B-judged),2,0.2764,,n_scored=16 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,mrr,row_level_gt(32B-judged),2,0.2564,,n_scored=16 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,precision@1,row_level_gt(32B-judged),2,0.0625,,n_scored=16 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@1,row_level_gt(32B-judged),3,0.0167,,n_scored=23 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@5,row_level_gt(32B-judged),3,0.2375,,n_scored=23 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,recall@10,row_level_gt(32B-judged),3,0.3695,,n_scored=23 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,ndcg@5,row_level_gt(32B-judged),3,0.2862,,n_scored=23 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,mrr,row_level_gt(32B-judged),3,0.2973,,n_scored=23 src=toon_retrieval_metrics_20260607_134206.csv
retrieval,precision@1,row_level_gt(32B-judged),3,0.1304,,n_scored=23 src=toon_retrieval_metrics_20260607_134206.csv
budget,avg_tokens,retrieval,1,49.6,tokens,budget=50
budget,within_budget_rate,retrieval,1,100.0,%,budget=50 avg=49.6
budget,retrieval_rate,retrieval,1,100.0,%,
budget,avg_tokens,retrieval,2,151.8,tokens,budget=200
budget,within_budget_rate,retrieval,2,100.0,%,budget=200 avg=151.8
budget,retrieval_rate,retrieval,2,100.0,%,
budget,avg_tokens,retrieval,3,1883.5,tokens,budget=20000
budget,within_budget_rate,retrieval,3,100.0,%,budget=20000 avg=1883.5
budget,retrieval_rate,retrieval,3,100.0,%,
endtoend,grounding_score,live_rag,2,0.85,,n=97
endtoend,latency,live_rag,2,8.67,s,n=97
endtoend,grounding_score,live_rag,3,0.7,,n=3
endtoend,latency,live_rag,3,20.76,s,n=3
