query,tier,retrieved,tokens,budget,within_budget
ما هو مستوى السكر في دمي؟,1,1,326,50,0
ما هي نسبة الضغط في قراءاتي الأخيرة؟,1,1,326,50,0
كم وزني في آخر فحص؟,1,1,326,50,0
ما نتائج فحص LDL؟,1,1,326,50,0
هل فحص HbA1c طبيعي؟,1,1,326,50,0
ما آخر قراءة للضغط؟,1,1,326,50,0
كم مستوى الكوليسترول؟,1,1,326,50,0
ما نتائج فحص الغدة الدرقية؟,1,1,326,50,0
هل فحص CBC طبيعي؟,1,1,326,50,0
ما مستوى فيتامين د؟,1,1,326,50,0
ما نسبة الهيموغلوبين؟,1,1,326,50,0
كم عدد كريات الدم البيضاء؟,1,1,326,50,0
ما نتائج فحص وظائف الكلى؟,1,1,326,50,0
ما مستوى اليوريا؟,1,1,326,50,0
ما نسبة الكرياتينين؟,1,1,326,50,0
ما نتائج فحص الكبد؟,1,1,326,50,0
ما إنزيمات الكبد؟,1,1,326,50,0
ما مستوى الحديد؟,1,1,326,50,0
هل فحص FERITIN طبيعي؟,1,1,326,50,0
ما قيمة الفولات؟,1,1,326,50,0
كم سكر الدم العشوائي؟,1,1,326,50,0
ما سكر الدم الصيامي؟,1,1,326,50,0
هل فحص الأنسولين طبيعي؟,1,1,326,50,0
ما مستوى الثيروكسين؟,1,1,326,50,0
كم TSH؟,1,1,326,50,0
ما free T4؟,1,1,326,50,0
ما النتائج الأولية؟,1,1,326,50,0
ما آخر فحص كامل؟,1,1,326,50,0
هل يوجد فقر دم؟,1,1,326,50,0
ما نوع الدم؟,1,1,326,50,0
ما نتيجة تحليل البول؟,1,1,326,50,0
هل يوجد بيلة بروتينية؟,1,1,326,50,0
ما كثافة البول؟,1,1,326,50,0
كم حجم البول؟,1,1,326,50,0
ما الرقم الهيدروجيني؟,1,1,326,50,0
هل نتائج فحوصات الضغط طبيعية؟,2,1,739,200,0
مقارنة النتائج الحالية بالسابقة؟,2,1,661,200,0
هل هناك تحسن في نسبة السكر؟,2,1,760,200,0
مستوى الكوليسترول ضمن المعدل الطبيعي؟,2,1,671,200,0
هل الفيتامينات تتحسن؟,2,1,728,200,0
هل قراءات الضغط مرتفعة؟,2,1,653,200,0
هل نتائج السكر طبيعية؟,2,1,640,200,0
هل يوجد تغير في الوزن؟,2,1,689,200,0
كيف تغيرت النتائج منذ آخر فحص؟,2,1,680,200,0
هل نتائج الغدة الدرقية حسنت؟,2,1,649,200,0
هل HbA1c تحسن؟,2,1,655,200,0
هل LDL انخفض؟,2,1,678,200,0
هل HDL ارتفع؟,2,1,658,200,0
مقارنة HDL بالنتائج السابقة؟,2,1,646,200,0
هل هناك تغير في TSH؟,2,1,695,200,0
هل free T4 طبيعي؟,2,1,650,200,0
هل النتائج مستقرة؟,2,1,780,200,0
هل هناك ترا��ع؟,2,1,652,200,0
مقارنة نتائج CBC؟,2,1,774,200,0
هل الهيموغلوبين تحسن؟,2,1,745,200,0
هل الحديد زاد؟,2,1,596,200,0
هل Feritin تحسن؟,2,1,718,200,0
مقارنة وظائف الكلى؟,2,1,652,200,0
هل اليوريا تحسنت؟,2,1,624,200,0
هل الكرياتينين مستقر؟,2,1,735,200,0
مقارنة إنزيمات الكبد؟,2,1,740,200,0
هل AST طبيعي؟,2,1,661,200,0
هل ALT تحسنت؟,2,1,665,200,0
هل هناك تحسن عام؟,2,1,689,200,0
هل النتائج ضمن النطاق؟,2,1,631,200,0
هل هناك قلق من النتائج؟,2,1,695,200,0
ما اتجاه النتائج؟,2,1,741,200,0
بناءً على نتائج فحوصاتي، ما التغييرات المطلوبة في العلاج؟,3,1,707,20000,1
بناءً على قراءات الضغط الأخيرة، هل لدي ارتفاع في ضغط الدم؟,3,1,707,20000,1
"Based on my labs, what lifestyle changes do you recommend?",3,1,707,20000,1
هل يوجد قلق من ارتفاع LDL في نتائج الفحص الأخيرة؟,3,1,707,20000,1
ما المسار المتوقع للحالة بناءً على الاتجاهات؟,3,1,707,20000,1
هل يجب تعديل الأدوية بناءً على النتائج؟,3,1,707,20000,1
ما توصيات العلاج بناءً على التطورات؟,3,1,707,20000,1
كيف يمكنني تحسين قراءات الغلوكوز؟,3,1,707,20000,1
هل يجب زيادة الجرعة؟,3,1,707,20000,1
ما الخطة العلاجية المناسبة؟,3,1,707,20000,1
ما أفضل نظام غذائي بناءً على النتائج؟,3,1,707,20000,1
هل الصيام مفيد بناءً على قراءات sugar؟,3,1,707,20000,1
ما أنواع التمارين المناسبة؟,3,1,707,20000,1
كم ساعة نوم مطلوبة؟,3,1,707,20000,1
كيف أتحكم في القلق والتوتر؟,3,1,707,20000,1
ما العلاقة بين الضغط والوزن؟,3,1,707,20000,1
هل السمنة تؤثر على النتائج؟,3,1,707,20000,1
ما العلاقة بين السكر وأمراض القلب؟,3,1,707,20000,1
هل يوجد خطر على القلب؟,3,1,707,20000,1
ما الفحوصات المطلوبة للكشف المبكر؟,3,1,707,20000,1
هل يجب فحص القلب؟,3,1,707,20000,1
ما ECG المطلوب؟,3,1,707,20000,1
هل فحص الإيكوكارديوغرام ضروري؟,3,1,707,20000,1
ما توصيات التغذية؟,3,1,707,20000,1
ما الأطعة التي يجب تجنبها؟,3,1,707,20000,1
ما الأطعة المفيدة؟,3,1,707,20000,1
هل يجب تقليل الملح؟,3,1,707,20000,1
هل يجب تقليل السكر؟,3,1,707,20000,1
هل يجب تقليل الدهون؟,3,1,707,20000,1
ما نسبة البروتين المطلوبة؟,3,1,707,20000,1
هل يجب أخذ مكملات؟,3,1,707,20000,1
ما أفضل وقت للتمارين؟,3,1,707,20000,1
كم مدة التمارين؟,3,1,707,20000,1
