query,tier,category,n_relevant
متى موعدي القادم؟,1,uncategorized,14
ما سبب زيارتي الأخيرة؟,1,uncategorized,4
ما حالة موعدي الحالي؟,1,uncategorized,4
ما الأعراض المسجلة في موعدي؟,1,uncategorized,17
هل موعدي الأخير كان أول زيارة؟,1,uncategorized,2
ما ملاحظات الموعد؟,1,uncategorized,2
متى كان آخر موعد لي؟,1,uncategorized,3
كم عدد مواعيدي المكتملة؟,2,uncategorized,5
هل لدي مواعيد معلقة؟,2,uncategorized,10
هل لدي مواعيد ملغاة؟,2,uncategorized,3
ما أكثر سبب متكرر لزياراتي؟,2,uncategorized,6
بناءً على مواعيدي السابقة، متى يجب أن أحجز المتابعة القادمة؟,3,uncategorized,2
بناءً على أعراضي في المواعيد، هل حالتي تتطور؟,3,uncategorized,19
ما النمط الزمني لزياراتي للعيادة؟,3,uncategorized,27
ما الأدوية الموصوفة لي؟,1,uncategorized,5
ما جرعة دوائي؟,1,uncategorized,2
كم مرة آخذ الدواء في اليوم؟,1,uncategorized,4
ما مدة تناول الدواء؟,1,uncategorized,6
ما تعليمات تناول الدواء؟,1,uncategorized,4
ما اسم الدواء الموصوف؟,1,uncategorized,3
متى صُرفت وصفتي الأخيرة؟,1,uncategorized,5
هل تغيرت أدويتي مؤخراً؟,2,uncategorized,2
ما الأدوية التي أتناولها بانتظام؟,2,uncategorized,4
هل هناك دواء يؤخذ قبل النوم؟,2,uncategorized,5
كم عدد الأدوية في وصفتي؟,2,uncategorized,2
بناءً على أدويتي الحالية، هل هناك تعارض محتمل؟,3,uncategorized,3
هل يجب تعديل جرعة دوائي بناءً على حالتي؟,3,uncategorized,5
ما الغرض العلاجي من الأدوية الموصوفة؟,3,uncategorized,4
ما تشخيص حالتي؟,1,uncategorized,8
ما المرض المسجل في ملفي؟,1,uncategorized,2
ما الشكوى الرئيسية لدي؟,1,uncategorized,8
ما ملخص التشخيص؟,1,uncategorized,14
هل لدي تشخيص مزمن؟,1,uncategorized,6
ما الحالة المرضية الأساسية؟,1,uncategorized,5
هل تغير تشخيصي مع الوقت؟,2,uncategorized,7
ما التشخيصات المتكررة في سجلي؟,2,uncategorized,3
هل هناك أكثر من تشخيص؟,2,uncategorized,1
بناءً على تشخيصي، ما الخطة العلاجية المناسبة؟,3,uncategorized,9
ما المضاعفات المحتملة لتشخيصي؟,3,uncategorized,2
ما ملاحظات الطبيب في آخر زيارة؟,1,uncategorized,2
ما خطة العلاج الموصوفة؟,1,uncategorized,2
متى موعد المتابعة؟,1,uncategorized,4
ما نوع السجل الطبي؟,1,uncategorized,8
ما تاريخ آخر زيارة طبية؟,1,uncategorized,4
ما توصيات الطبيب؟,1,uncategorized,4
ما ملخص زياراتي الطبية؟,2,uncategorized,25
كيف تطورت حالتي عبر الزيارات؟,2,uncategorized,9
ما خطط العلاج عبر سجلي؟,2,uncategorized,6
بناءً على سجلي الطبي الكامل، ما التوصيات؟,3,uncategorized,31
ما المسار العلاجي بناءً على سجلاتي؟,3,uncategorized,14
ما مستوى السكر في دمي؟,1,uncategorized,7
ما قراءة ضغط الدم لدي؟,1,uncategorized,1
كم وزني في آخر فحص؟,1,uncategorized,1
ما درجة حرارتي؟,1,uncategorized,9
ما معدل ضربات القلب؟,1,uncategorized,4
