query,tier,retrieved,tokens,budget,within_budget
ما هو مستوى السكر في دمي؟,1,1,50,50,1
ما هي نسبة الضغط في قراءاتي الأخيرة؟,1,1,50,50,1
كم وزني في آخر فحص؟,1,1,50,50,1
ما نتائج فحص LDL؟,1,1,50,50,1
هل فحص HbA1c طبيعي؟,1,1,50,50,1
ما آخر قراءة للضغط؟,1,1,50,50,1
كم مستوى الكوليسترول؟,1,1,50,50,1
ما نتائج فحص الغدة الدرقية؟,1,1,50,50,1
هل فحص CBC طبيعي؟,1,1,50,50,1
ما مستوى فيتامين د؟,1,1,50,50,1
ما نسبة الهيموغلوبين؟,1,1,50,50,1
كم عدد كريات الدم البيضاء؟,1,1,50,50,1
ما نتائج فحص وظائف الكلى؟,1,1,50,50,1
ما مستوى اليوريا؟,1,1,50,50,1
ما نسبة الكرياتينين؟,1,1,50,50,1
ما نتائج فحص الكبد؟,1,1,50,50,1
ما إنزيمات الكبد؟,1,1,50,50,1
ما مستوى الحديد؟,1,1,50,50,1
هل فحص FERITIN طبيعي؟,1,1,50,50,1
ما قيمة الفولات؟,1,1,50,50,1
كم سكر الدم العشوائي؟,1,1,50,50,1
ما سكر الدم الصيامي؟,1,1,50,50,1
هل فحص الأنسولين طبيعي؟,1,1,50,50,1
ما مستوى الثيروكسين؟,1,1,50,50,1
كم TSH؟,1,1,50,50,1
ما free T4؟,1,1,50,50,1
ما النتائج الأولية؟,1,1,50,50,1
ما آخر فحص كامل؟,1,1,50,50,1
هل يوجد فقر دم؟,1,1,50,50,1
ما نوع الدم؟,1,1,50,50,1
ما نتيجة تحليل البول؟,1,1,50,50,1
هل يوجد بيلة بروتينية؟,1,1,36,50,1
ما كثافة البول؟,1,1,50,50,1
كم حجم البول؟,1,1,50,50,1
ما الرقم الهيدروجيني؟,1,1,50,50,1
هل نتائج فحوصات الضغط طبيعية؟,2,1,121,200,1
مقارنة النتائج الحالية بالسابقة؟,2,1,184,200,1
هل هناك تحسن في نسبة السكر؟,2,1,171,200,1
مستوى الكوليسترول ضمن المعدل الطبيعي؟,2,1,159,200,1
هل الفيتامينات تتحسن؟,2,1,160,200,1
هل قراءات الضغط مرتفعة؟,2,1,121,200,1
